NID	CHN	ETCM	TCMID	SYM	TCMSP	PINYIN	LATIN	TYPE	FAMILY_CHN	FAMILY_ENG	Specifications	Property_CHN	Property_Eng	Flavor_CHN	Flavor_ENG	Meridian_Tropism_CHN	Meridian_Tropism_ENG	Indication_CHN	Indication_ENG	English_Name	Class_Chinese	UsePart	Syndromes	itcm
11	日本乌头		TCMID_H_1230			RI BEN WU TOU	Aconitum japonicum	Plant medicine	毛茛科	Ranunculaceae														itcm_h_11
12	了哥王根			SMHB00236	236	Le Ge Wang Gen		Plant medicine												Wikstroemiae Indicae Rasix	清热解毒药			itcm_h_12
13	白罂粟		TCMID_H_2015			BAI YING SU		Plant medicine																itcm_h_13
14	绿原酸		TCMID_H_1250			LV YUAN SUAN	Acidum Chlorogenicum	other																itcm_h_14
15	赤石脂		TCMID_H_6358			CHI SHI ZHI	Halloysitum Rubrum	Mineral medicine				温	Warm	甘,酸	Sweet,Sour,	大肠，胃	Large Intestine,Stomach	治疗慢性腹泻、慢性痢疾、便血、子宫异常出血、白带过多，外用治疗溃疡难愈、湿疹伴渗出。	Treatment of chronic diarrhea, chronic dysentery, hematochezia, abnormal uterine bleeding, excessive leukorrhea, external use for ulcers difficult to heal up, eczema with exudation.					itcm_h_15
16	新豉		TCMID_H_8037			XIN CHI	Semen Sojae	Plant medicine				寒	Cold	辛,甘,微苦	Pungent,Sweet,Slightly Bitter	肺，胃	Lung,Stomach	治疗感冒、流行性感冒中的寒战、发热、头痛、心烦、胸闷、失眠。	Treatment of chills, fever and headache in colds and influenza, vexation, oppressed feeling in the chest and insomnia.					itcm_h_16
17	蛇胆汁		TCMID_H_7127			SHE DAN ZHI	Fel Serpentis Liquidum	animal medicine(including insect)				寒	Cold	甘,苦	Sweet,Bitter									itcm_h_17
18	黑丑		TCMID_H_4371			HEI CHOU	Semen Pharbitidis	Plant medicine				寒	Cold	辛,微苦	Pungent,Slightly Bitter	肺、大肠、肾	Lung,Large Intestine,Kidney	治疗便秘少尿、气喘咳嗽、肠寄生虫病腹痛、蛔虫病、带绦虫病。	Treament of anasarca with constipation and oliguria, dyspnea and cough caused by retained fluid, abdominal pain due to intestinal parasitosis, ascariasis, taeniasis.				1. One of its components, pharbitin, is purgative.2. Large dosage may induc hyperemia of kidney and cause hematuria.3. Killing Ascaris suis in vitro.	itcm_h_18
19	驴皮		TCMID_H_3688			LV PI	Corium Asini	animal medicine(including insect)																itcm_h_19
20	丁香根		TCMID_H_7287			DING XIANG GEN		Plant medicine																itcm_h_20
21	天花粉	yc_313	TCMID_H_1501	SMHB00392	392	TIAN HUA FEN	Trichosanthes kirilowii Maxim.;Trichosanthes rosthornii HarIlls	Plant medicine	葫芦科	Cueurbitaceae		寒	Cold	甘,苦	sweet,bitter	肺,胃	Lung, stomach	清热,泻火,生津,止渴,消肿,排脓	Clearing away heat, purging fire, producing fluid, quenching thirst, reducing swelling, draining pus					itcm_h_21
22	密蒙花	yc_224	TCMID_H_5755	SMHB00281	281	MI MENG HUA	Buddleja officinalis Maxim.	Plant medicine	马钱科	Angiospermae		寒	Cold	甘	sweet	肝	liver	清热,泻火,养肝,明目,退翳	Clearing heat, purging fire, nourishing liver, improving eyesight, relieving haze					itcm_h_22
23	合欢皮	yc_126	TCMID_H_3676			HE HUAN PI	Albizia julibrissin Durazz.	Plant medicine	豆科	Leguminosae		平	Neutral	甘	sweet	心,肝,肺	Heart, liver, lung	解郁,安神,活血,消肿	Relieve depression, soothe the nerves, invigorate blood, reduce swelling					itcm_h_23
24	石南藤		TCMID_H_6820			SHI NAN TENG	RamuIus Wallichii seu Puberulii	Plant medicine	胡椒科	Piperaceae								祛风，疏通经络，活血化瘀，强筋骨，止痛。治疗风寒湿痹，腰腿酸软，特别是虚寒证，也可用于外伤。Wallichii也用于心绞痛，脑血栓形成和栓塞，和短柔毛胆绞痛和胃痛。	To expel wind, dredge the meridians, activate the circulation of vital energy and blood, strengthen the tendons and bones, relieve pain. For arthralgia of wind-cold-dampness type, weakness and soreness of the waist and lower extremities, especially those with deficiency-cold syndrome, and also for trauma. Wallichii is also used for angina pectoris, cerebral thrombosis and embolism, and Puberulum for biliary colic and stomachache.					itcm_h_24
25	广木香		TCMID_H_3452			GUANG MU XIANG	Radix Aucklandiae	Plant medicine	菊科	Asteraceae		温	Warm	辛,苦	Pungent,Bitter	脾、大肠、胃、胆、三焦	Spleen,Large Intestine,Stomach,Gallbladder,Three End							itcm_h_25
26	十大功劳叶		TCMID_H_3256	SMHB00369	369	Shi Da Gong Lao Ye	Folium Mahoe	Plant medicine				寒	Cold	苦	Bitter	大肠、胃、肝	Large Intestine,Stomach,Liver			leaf of leatherleaf Mahonia	清热解毒药	leaf		itcm_h_26
27	大皂角	yc_72				DA ZAO JIAO	Gleditsia Sinensis Lam.	Plant medicine	豆科	Leguminosae	以肥厚、色紫褐者为佳	温	Warm	辛,咸	pungent,salty	肺,大肠	Lung, large intestine	祛痰,开窍,散结,消肿	Expectorant, resuscitation, clearing up, reducing swelling					itcm_h_27
28	绿豆芽		TCMID_H_4754			LU DOU YA		Plant medicine																itcm_h_28
29	胡荽		TCMID_H_5192			HU SUI	Herba Coriandri	Plant medicine	伞形科	Apiaceae		温	Warm	辛	Pungent	肺，胃	Lung,stomach	治疗早期风寒麻疹表现为发热不出汗，麻疹无皮疹。胡荽与螺旋藻、升麻合用。加热后的凉茶敷在皮肤上，使皮疹浮出水面。	Treatment of early stage of measles due to attack of wind and cold manifested as fever, no sweating and measles without a rash. Coriander (Husui) is used with Spirodela (Fuping) and Cimicifuga rhizome (Shengma). The heated herbal tea is applied to the skin to bring the rash to the surface.					itcm_h_29
30	按叶		TCMID_H_4716			AN YE	Eucalyptus globulus	Plant medicine	桃金娘科	Myrtaceae								清风化瘀，清热解毒，理气化痰，杀虫止痒。	To soothe wind and resolve exterior, clear heat and resolve toxin, rectify  qi  and transform phlegm, kill worms and relieve itch.			leaf	Common cold, ardent fever with headache, lung heat cough asthma, pertussis, diarrhea, dysentery, ancylostomiasis, filariasis, wind-damp pain, swelling toxin of welling abscess and sore, eczema, scab and lichen, burns and scalds, bleeding due to external injury.	itcm_h_30
31	瓜蒌	yc_117		SMHB00147	147	GUA LOU	Trichosanthes kirilowii Maxim.;Trichosanthes rosthornii Harms	Plant medicine	葫芦科	Cueurbitaceae		寒	Cold	苦	bitter	肺,胃,大肠	Lung, stomach, large intestine	清热涤痰,宽胸散结,润燥滑肠。用于肺热晐嗽,痰浊黄稠,胸痹心痛,结胸痞满,乳痈,肺痈,肠痈,大便秘结	Clearing away heat and removing phlegm, widening the chest, dispelling lumps, moisturizing dryness and smoothing intestines. Used for pulmonary fever, cough, turbid phlegm, thick yellow phlegm, chest pain, chest pain, fullness of the chest, breast carbuncle, pulmonary carbuncle, intestinal carbuncle, constipation					itcm_h_31
32	胡萝卜子		TCMID_H_6018			HU LUO BO ZI	Daucus carota var. sativa	Plant medicine	伞形科	Apiaceae								散寒除湿，祛水杀虫。	To dissipate cold and dry damp, disinhibit water and kill worms.			seed	Chronic dysentery, phlegm asthma.	itcm_h_32
33	荠菜子		TCMID_H_1361			JI CAI ZI	Capsella bursa- pastoris	Plant medicine	十字花科	Brassicaceae								祛风明目。	To dispel wind and brighten eyes.			seed	Eye pain, eye screen, clear-eye blindness.	itcm_h_33
34	鸡骨草	yc_153	TCMID_H_5658	SMHB00191	191	JI GU CAO	Abrus cantoniensis Hance	Plant medicine	豆科	Leguminosae		凉	Cool	甘,苦	sweet,bitter	肝,胃	Liver, stomach	利湿,退黄,清热,解毒,疏肝,止痛	Relieving dampness, relieving yellow, clearing away heat, detoxification, soothing liver, relieving pain					itcm_h_34
35	西川芎		TCMID_H_5859			XI CHUAN XIONG	Radix chuanxiong；Rhizoma Chuanxiong	Plant medicine				温	Warm	辛	Pungent	肝、心、胆	Liver,Cardiovascular,Gallbladder	治疗月经失调、闭经、痛经、腹痛伴肿块形成、胸肋刺痛、外伤性肿痛、头痛、风湿关节痛。	Treatment of menstrual disorders, amenorrhea, dysmenorrhea, abdominal pain with mass formation, pricking pain in the chest and costal regions, swelling and pain due to traumatic injury, headache, rheumatic arthralgia.				1. Its active component, tetramethylpyrazine, can dilate the coronary artery and increase the coronary flow.2. Its aqueous solution and alcoholic infusion can lower blood pressure.3. Its alkaloids, ferulic acid and cnidilide are antispasmodics.4. Inhibiting the egrowth of intestinal gram-negative bacteria and skinfungi.	itcm_h_35
36	霍香叶		TCMID_H_3258			HUO XIANG YE	Folium Agastachis	Plant medicine				小温	Slight Warm	辛	Pungent	肺、脾、胃	Lung,Spleen,Stomach	1治疗脾胃湿阻表现为上腹胀、恶心、呕吐、食欲不振。藿香与苍术、厚朴、半夏合用制成补环金真气散。2治疗生寒食内伤，夏季外感风寒侵袭，表现为寒、热、头痛、上腹胀、恶心、呕吐、腹泻。藿香与紫苏叶、半夏、厚朴、陈皮配伍制成藿香正气散。三。呕吐的治疗	1. Treatment of dampness blocking the spleen and stomach manifested as epigastric and abdominal distension, nausea, vomiting and poor appetite. Agastache (Huoxiang) is used with Atractylodes rhizome (Cangzhu), Magnolia bark (Houpo) and Pinellia tuber (Banxia) in the formula Buhuanjin Zhenqi San. 2. Treatment of internal injury caused by raw and cold food and invasion by exogenous wind and cold in summer manifested as chills, fever, headache, epigastric fullness, nausea, vomiting and diarrhea. Agastache (Huoxiang) is used with Perilla leaf (Zisuye), Pinellia tuber (Banxia), Magnolia bark (Houpo) and Tangerine peel (Chenpi) in the formula Huoxiang Zhengqi San. 3. Treatment of vomiting					itcm_h_36
37	茺蔚子		TCMID_H_1844	SMHB00067	67	Chong Wei Zi	Fructus Leonuri	Plant medicine				小寒	Slight Cold	甘	Sweet	肝、心、肾	Liver,Heart,Kidney	活血调经，平复肝亢，明目。	To activate blood circulation and regulate menstruation, to subdue hyperactivity of the liver, and to clear the eye of opacity.	Motherwort Fruit	活血祛瘀药			itcm_h_37
38	鸡冠苗		TCMID_H_2962			JI GUAN MIAO		Plant medicine																itcm_h_38
39	刺人参		TCMID_H_1326			CI REN SHEN		Plant medicine																itcm_h_39
40	艾实		TCMID_H_6848			AI SHI		Plant medicine																itcm_h_40
41	鸡冠子		TCMID_H_4993			JI GUAN ZI	Celosia cristada	Plant medicine	苋科	Amaranthaceae														itcm_h_41
42	紫苏苞		TCMID_H_7511			ZI SU BAO		Plant medicine																itcm_h_42
43	光果甘草		TCMID_H_1606			GUANG GUO GAN CAO	Glycyrrhiza glabra	Plant medicine	豆科	Fabaceae								详见 Glycyrrhiza uralensis .	See  Glycyrrhiza uralensis .			root and rhizome	See  Glycyrrhiza uralensis .	itcm_h_43
44	高山黄华根		TCMID_H_7499			GAO SHAN HUANG HUA GEN		Plant medicine																itcm_h_44
45	鹧鸪菜		TCMID_H_5567			ZHE GU CAI	Caloglossa leprieurii	Plant medicine										驱除蛔虫。	To expel roundworm.			frond	Ascariasis.	itcm_h_45
46	雪梨皮		TCMID_H_7522			XUE LI PI	Exocarpium Pyrus	Plant medicine	蔷薇科	Rosaceae		凉	Cool	甘,微酸	Sweet,Slightly Sour	肺，胃	Lung,Stomach							itcm_h_46
47	炒山甲		TCMID_H_4657			CHAO SHAN JIA	Squama manitis	animal medicine(including insect)				小寒	Slight Cold	咸	Salty	胃，肝	Stomach,Liver	治疗闭经伴腹部肿块形成、乳汁停滞、痈疮、关节痛伴麻木和肌肉挛缩。	Treatment of amenorrhea with mass formation in the abdomen, galactostasis, carbuncles and sores, arthralgia with numbness and muscular contracture.				Raising the level of white blood cells.	itcm_h_47
48	姜皮		TCMID_H_1210			JIANG PI	Cortex Zingiberis	Plant medicine	十字花科	Brassicaceae		温	Warm	辛	Pungent	肺、脾、胃	Lung,Spleen,Stomach							itcm_h_48
49	藕炭		TCMID_H_7651			OU TAN	Nelumbinis rhizomatis Preparata	Plant medicine																itcm_h_49
50	甜瓜花		TCMID_H_4577			TIAN GUA HUA		Plant medicine																itcm_h_50
51	雄黄		TCMID_H_6238			XIONG HUANG	Realgar	Mineral medicine				温	Warm	辛,苦	Pungent,Bitter	肝、心、肾	Liver,Heart,Kidney	治疗痈疮、疖子、蛇咬伤、昆虫咬伤、肠道寄生虫病引起的腹痛、婴儿惊厥、疟疾。	Treatment of carbuncles, boils, snake-bite, insect-bite, abdominal pain due to intestinal parasitosis, infantile convulsion, malaria.				Inhibiting the growth of pyogenic cocci, Bacillus tuberculosis and various pathogenic fungi.	itcm_h_51
52	蔗糖		TCMID_H_7839			ZHE TANG	Sucrosum	Plant medicine																itcm_h_52
53	大风子			SMHB00083	83	Da Feng Zi		Plant medicine	青钟麻科	Achariaceae										Hydnocarpi Anthelminticae Semen	解毒杀虫燥湿止痒药			itcm_h_53
54	皂刺		TCMID_H_1245			ZAO CI	Spina gleditsiae	Plant medicine				温	Warm	辛	Pungent	肺，大肠	Lung,Large Intestine	治疗早期痈疖或形成脓肿难破，外用治疗疥疮和麻风病。	Treatment of carbuncle and boil at the early stage or formation of abscess difficult to burst, external use for scabies and leprosy.				1. To relieve carbuncle and drain pus. For the early stage of carbuncle or carbuncle with unruptured abscess. 2. To expel wind and kill parasites. For tinea infection and leprosy.	itcm_h_54
55	辣椒	yc_189	TCMID_H_4112	SMHB00233	233	LA JIAO	Capsicum annuum L.	Plant medicine	茄科	Solanaceae		热	Hot	辛	pungent	心,脾	Heart, spleen	温中,散寒,开胃,消食	Warm middle, dispel cold, appetite, digest					itcm_h_55
56	晚蚕砂		TCMID_H_7686			WAN CAN SHA	Excrementum Bombycis Mori	animal medicine(including insect)				温	Warm	辛,甘	Pungent,Sweet	脾、胃、肝	Spleen,Stomach,Liver	1湿热阻络证的治疗。结论：1.蚕沙与防己粉、薏苡仁、滑石粉合用制成宣痹汤。湿疹。药水用于外洗。三。治疗以呕吐、腹泻、绞痛、腹痛为表现的脾胃湿浊阻证。蚕沙与黄芩、木瓜、吴茱萸配伍制成蚕食汤。	1. Treatment of damp-heat obstruction syndrome. Silkworm excrement (Cansha) is used with Tetrandra root (Fangji), Coix seed (Yiyiren) and Talc (Huashi) in the formula Xuanbi Tang .2. Eczema. The decoction of the herb is used for external washing. 3. Treatment of turbid dampness blocking the spleen and stomach manifested as vomiting, diarrhea, cramps and abdominal pain. Silkworm excrement (Cansha) is used with Scutellaria root (Huangqin), Chaenomeles fruit (Mugua) and Evodia fruit (Wuzhuyu) in the formula Canshi Tang.					itcm_h_56
57	猪大肠		TCMID_H_1772			ZHU DA CHANG	Crassum intestinum Porci	animal medicine(including insect)				小寒	Slight Cold	甘	Sweet	大肠、小肠、肝	Large Intestine,Small Intestine,Liver							itcm_h_57
58	无患子皮		TCMID_H_2503	SMHB00417	417	Wu Huan Zi Pi		Plant medicine												Sapindi Mukorossiperic Arpium	化痰药	pericarp		itcm_h_58
59	毛叶威灵仙		TCMID_H_4279			MAO YE WEI LING XIAN		Plant medicine	毛茛科	Ranunculaceae														itcm_h_59
60	芦根	yc_205	TCMID_H_5927	SMHB00255	255	LU GEN	Phragmites communis Trin.	Plant medicine	禾本科	Gramineae	按《中华人民共和国药典》1995年版（一部）规定：本品出芽率不得少于85％	寒	Cold	甘	sweet	肺,胃,膀胱	Lung, stomach, bladder	止呃,清热,生津,止渴,利水,除烦,透疹						itcm_h_60
61	黄狗肾		TCMID_H_5246			HUANG GOU SHEN	Testis et Penis Canis familiaris	animal medicine(including insect)				温	Warm	咸	Salty			治疗肾阳虚证表现为阳痿、厌寒、肢寒。狗睾丸与枸杞子、巴戟天、土孜子配合使用。	Treatment of deficiency of kidney yang manifested as impotence, aversion to cold and cold extremities. Dog testis (Huanggoushen) is used with Wolfberry fruit (Gouqizi), Morinda root (Bajitian) and Dadder seed (Tusizi).					itcm_h_61
62	炙升麻		TCMID_H_7749			ZHI SHENG MA	Rhizoma Cimicifugae Praeparata	Plant medicine				小寒	Slight Cold	辛	Pungent	肺、脾、大肠、胃	Lung,Spleen,Large Intestine,Stomach	治疗风热牙痛、口腔溃疡、咽痛、麻疹少疹等发热性疾病引起的头痛、直肠或子宫脱垂。	Treatment of headache caused by wind-heat toothache, ulcers in themouth, sore throat, measles with inadequate eruption andother eruptive febrile diseases, prolapse of the rectum or the uterus.				1. Antipyretic, analgesic and anti-inflammatory. Gastric infusion of its extract (mainly containing ferulic acid) in a dosage of 1.0g/kg can lower the body temperature of normal rats and relieve the pain elicited by acetic acid in mice.2. Inhibiting myocardium, slowing heart rate and lowering heart rate and lowering blood pressure.	itcm_h_62
63	紫菜		TCMID_H_3968			ZI CAI	Porphyra tenera	Plant medicine										化痰软硬，清热利尿。	To transform phlegm and soften hardness, clear heat and disinhibit urine.			thallospore	Goiter and tuberculosis, beriberi,  edema, strangury, swelling pain in throat, cough, diarrhea.	itcm_h_63
64	狗肾		TCMID_H_2674			GOU SHEN	Testis et Penis Canis	animal medicine(including insect)				温	Warm	咸	Salty	肾	Kidney	治疗肾阳虚证表现为阳痿、厌寒、肢寒。狗睾丸与枸杞子、巴戟天、土孜子配合使用。	Treatment of deficiency of kidney yang manifested as impotence, aversion to cold and cold extremities. Dog testis (Huanggoushen) is used with Wolfberry fruit (Gouqizi), Morinda root (Bajitian) and Dadder seed (Tusizi).					itcm_h_64
65	豆油		TCMID_H_2121			DOU YOU	Glycine max	Plant medicine	豆科	Fabaceae								解毒杀虫，润肠通便。	To resolve toxin and kill worms, moisten intestines and free stool.			seed oil	Ileus, constipation, scab and lichen.	itcm_h_65
66	白芍	yc_16	TCMID_H_3997	SMHB00021	21	BAI SHAO	Paeonia lactiflora Pall.	Plant medicine	毛茛科	Ranunculaceae	据国家医药管理局、中华人民共和国卫生部制订的药材商品规格标准，白芍分白芍和杭白芍两个品别	寒	Cold	甘	sweet	胃,肾	Stomach, kidney	温中,下气,止呃	Wenzhong, breathe, stop uh					itcm_h_66
67	地枫皮		TCMID_H_6143	SMHB00101	101	Di Feng Pi	Cortex Illicii	Plant medicine	五味子科	Schisandraceae		温	Warm	微辛	Slightly Pungent,	膀胱，肾	Bladder,Kidney	缓解风湿病，理气止痛。	To relieve rheumatic conditions, and to promote the flow of qi and relieve pain.	Difengpi Bark	祛风湿散寒药	bark		itcm_h_67
68	马钱子	yc_217	TCMID_H_1421	SMHB00270	270	MA QIAN ZI	Strychnos nux-vomica L.	Plant medicine	马钱科	Angiospermae	《中华人民共和国药典》1995年版规定；本品按干燥品计算含番木鳖碱（C~21H~22N~2O~2）应为1.20％－2.20％。	寒	Cold	苦	bitter	肝,脾	Liver, spleen	止痛,消肿,散结,强筋骨,通络,解毒						itcm_h_68
69	紫槿皮		TCMID_H_3608			ZI JIN PI		Plant medicine																itcm_h_69
70	云芝		TCMID_H_1069	SMHB00475	475	Yun Zhi	Polysaccharidum Versicolor	fungus medicine				小寒	Slight Cold	甘	Sweet					Coriolus versicolor	拔毒化腐生肌药			itcm_h_70
71	轮环藤		TCMID_H_3262			LUN HUAN TENG	Cyclea racemosa	Plant medicine	防己科	Menispermaceae								理气止痛，祛湿解毒。	To rectify  qi  and relieve pain, dispel damp and resolve toxin.			root	Distending pain in chest and stomach duct, abdominal pain and diarrhea, wind-damp pain, throat pain, poisonous snake bite, dog bite, swelling toxin of welling abscess and flat abscess, bleeding due to external injury.	itcm_h_71
72	焦槟榔		TCMID_H_3000			JIAO BING LANG	Semen Arecae Preparata	Plant medicine										治疗未消化食物潴留，痢疾伴粉刺。	Treatment of retention of undigested food, dysentery with tenesmus.					itcm_h_72
73	鱼腥草	yc_372	TCMID_H_3847	SMHB00465	465	YU XING CAO	Houttuynia cordata Thunb.	Plant medicine	三白草科	Saururaceae		寒	Cold	辛	pungent	肺	lung	清热,解毒,消痈,排脓,利尿,通淋	To clear away heat, detoxify, eliminate carbuncle, excrete pus, diuresis, relieve leaching					itcm_h_73
74	葱实		TCMID_H_7513			CONG SHI		Plant medicine																itcm_h_74
75	酸枣仁	yc_305	TCMID_H_6272	SMHB00386	386	SUAN ZAO REN	Ziziphus jujuba Mill. var. spinosa (Bunge) Hu ex H.F.Chou	Plant medicine	鼠李科	Rhamnaceae		平	Neutral	甘,酸	sweet,sour	肝,胆,心	Liver, gallbladder, heart	养心,补肝,宁心,安神,敛汗,生津						itcm_h_75
76	韭菜根		TCMID_H_3475			JIU CAI GEN		Plant medicine																itcm_h_76
77	岗梅		TCMID_H_1601			GANG MEI	Radix Ilicis Asprellae	Plant medicine	冬青科	Aquifoliaceae								1清热解毒，促进体液分泌，舒缓咽喉。治疗风热型感冒、夏热证、高热时节病、头痛口渴、疥疮、肺热咳嗽等。化瘀止痛。用于风湿热型关节痛。最近，还治心绞痛。	1. To clear heat and toxic materials, promote production of body fluid and ease the throat. For common cold of wind-heat type, summer-heat syndrome, seasonal febrile disease with fever, headache and thirst and sorethroat, cough due to lung-heat, etc.  2. To disperse blood stasis and alleviate pain. For arthralagia of wind-dampness heat type. Recently, also for  angina pectoris.					itcm_h_77
78	续断	yc_350	TCMID_H_2428	SMHB00443	443	XU DUAN	Dipsacus asper Wall. ex Henry	Plant medicine	川续断科	Dipsacaceae		温	Warm	苦,辛	bitter,pungent	肝,肾	Liver, kidney	补肝肾,强筋骨,续折伤,止崩漏	Invigorate liver and kidney, strengthen muscles and bones, continue to fracture, stop metrorrhagia					itcm_h_78
79	显齿蛇葡萄		TCMID_H_1122			XIAN CHI SHE PU TAO	Ampelopsis grossedentata [Syn. Ampelopsis cantoniesis var. grossedentata ]	Plant medicine	葡萄科	Vitaceae								清热解毒，祛湿消肿。	To clear heat and resolve toxin, disinhibit damp and disperse swelling.			stem-leaf or root	Common cold with fever, swelling pain in throat, icterohepatitis, red eyes with gall, swollen sore of welling abscess and boil.	itcm_h_79
80	檀香油		TCMID_H_1307			TAN XIANG YOU		Plant medicine																itcm_h_80
81	菥蓂	yc_334				XI MING	Thlaspi arvense L.	Plant medicine	十字花科	Brassicaceae		寒	Cold	辛	pungent	肝,胃,大肠	Liver, stomach, large intestine	清肝,明目,和中,利湿,解毒,消肿	To clear the liver, improve eyesight, harmonize, relieve dampness, detoxify, reduce swelling					itcm_h_81
82	胆星		TCMID_H_3028			DAN XING	Rhizoma Arisaema cum Bile	Plant medicine				凉	Cool	苦	Bitter			治疗咳嗽伴黄痰、中风、躁狂、癫痫。	Treatment of cough with yellowish sticky expectoration, stroke, mania, epilepsy.					itcm_h_82
83	樟树子		TCMID_H_2244			ZHANG SHU ZI		Plant medicine																itcm_h_83
84	鸡胎		TCMID_H_6233			JI TAI	Embryo gallus domesticus	animal medicine(including insect)																itcm_h_84
85	甘草稍		TCMID_H_5933			GAN CAO SHAO	Radix Glycyrrhizae uralensis	Plant medicine				平	Neutral	甘	Sweet	肺、脾、胃、心	Lung,Spleen,Stomach,Heart							itcm_h_85
86	两头尖		TCMID_H_2188	SMHB00246	246	Liang Tou Jian	Rhizoma Ahemones Daddeae	Plant medicine	毛茛科	Ranunculaceae								缓解风湿病，治痈。	To relieve rheumatic conditions, and to cure carbuncle.	Radde Anemone Rhizome	祛风湿散寒药			itcm_h_86
87	辣椒茎		TCMID_H_6653			LA JIAO JING		Plant medicine																itcm_h_87
